,Date,SOURCEURL,AvgTone,N_label,Label
897,2018-08-01,https://www.jpost.com/Israel-News/Bookingcom-labeled-Jerusalem-as-an-Israeli-settlement-563900,-1.7536172113963702,8.0,Employee_Engagement_Inclusion_And_Diversity
898,2018-08-02,https://unitedwithisrael.org/travel-site-booking-com-stops-referring-to-jerusalem-as-israeli-settlement/,-4.83870967741935,10.0,Human_Rights_And_Community_Relations
899,2018-08-05,http://ejpress.org/travel-site-booking-com-no-longer-refers-to-jerusalem-as-an-israeli-settlement/,-3.28947368421053,10.0,Human_Rights_And_Community_Relations
900,2018-08-06,https://www.prolificnorth.co.uk/news/digital/2018/08/bookingcom-plans-%C2%A3100m-investment-manchester-new-tech-hub,2.7852538731199803,3.0,Business_Model_Resilience
901,2018-08-06,https://www.insidermedia.com/insider/northwest/booking.com-unveils-100m-investment-and-jobs-in-manchester,3.71024734982332,15.0,Product_Design_And_Lifecycle_Management
902,2018-08-08,http://www.hurriyetdailynews.com/turkish-travel-association-seeks-to-extend-booking-com-ban-to-airbnb-expedia-skyscanner-135602,-1.27388535031847,4.0,Competitive_Behavior
903,2018-08-08,http://voiceofvienna.org/2018/08/09/turkish-travel-association-seeks-to-extend-booking-com-ban-to-airbnb-expedia-skyscanner/,-0.64724919093852,4.0,Competitive_Behavior
904,2018-08-09,https://www.prweb.com/releases/graphicbomb_partners_with_booking_com_to_provide_inventory_for_launch_of_beachdeals_com_vacation_rental_search_site/prweb15673084.htm,4.58839406207827,15.0,Product_Design_And_Lifecycle_Management
906,2018-08-10,https://www.tracysnewyorklife.com/2018/08/booking-com-taste-of-travel-marcus-samuelsson/,-1.56115727215573,6.0,Customer_Welfare
908,2018-08-15,https://www.booking.com/hotel/ca/marriott-niagara-falls-fallsview-spa.en-gb.html,4.3478260869565295,0.0,Business_Ethics
909,2018-08-15,https://www.booking.com/hotel/ca/hilton-niagara-falls-fallsview.en-gb.html,1.3636363636363602,0.0,Business_Ethics
910,2018-08-15,https://www.businessinsider.com/airbnb-bookingcom-save-money-travel-2018-8,0.3715825269993401,4.0,Competitive_Behavior
