,GLOBALEVENTID,Date,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,EventCode,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,SOURCEURL
3470,684882052,20170829,LAB,EMPLOYEE,,LAB,,,,,50,-4.36507936507936,,,,,https://www.nbcnews.com/tech/tech-news/uber-board-picks-expedia-s-dara-khosrowshahi-new-ceo-n796496?cid=public-rss_20170829
3471,684894164,20170829,,,,,USA,UNITED STATES,USA,,46,-1.26315789473684,,,"Maine, United States",US,http://www.pressherald.com/2017/08/28/expedia-confirms-ceos-job-offer-from-uber/
3476,684939380,20170829,MED,PUBLICATION,,MED,,,,,874,-0.506646745584795,,,,,http://www.travelweekly.com.au/article/expedias-ceo-steers-into-ubers-top-job/
3477,684945735,20170829,BUS,BUSINESS,,BUS,,,,,36,0.458558622556697,"New York, United States",US,,,http://www.dw.com/en/expedia-ceo-dara-khosrowshahi-poised-to-leave-for-uber/a-40275434
3482,685010184,20170829,KOR,SOUTH KOREAN,KOR,,,,,,1821,-4.62585034013605,South Korea,KS,,,http://gadgets.ndtv.com/apps/features/uber-ceo-expedia-dara-khosrowshahi-challenges-1743503
3484,685014893,20170829,LAB,EMPLOYEE,,LAB,BUS,BUSINESS,,BUS,110,-0.70921985815603,China,CH,China,CH,http://gulfnews.com/business/sectors/technology/expedia-drops-with-ceo-khosrowshahi-said-poised-to-lead-uber-1.2081905
3486,685100026,20170829,CVL,TRAVELER,,CVL,BUS,AIRLINE,,BUS,20,-0.30864197530864,,,,,https://www.cnet.com/news/google-wants-to-be-your-travel-agent-kayak-expedia-tripadvisor/
3487,685116370,20170829,USA,UNITED STATES,USA,,GOV,CHIEF EXECUTIVE,,GOV,15,-1.46842878120411,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,https://www.bloomberg.com/news/articles/2017-08-29/expedia-ceo-says-running-uber-is-opportunity-of-a-lifetime
3488,685129195,20170829,,,,,BUS,INDUSTRY,,BUS,14,-1.55763239875389,,,"Seattle, Washington, United States",US,http://www.sfgate.com/business/article/Expedia-CEO-Says-Running-Uber-Is-Opportunity-of-12159037.php
3490,685130478,20170829,JUD,ADVOCATE,,JUD,GOV,PRESIDENT,,GOV,10,0.732050981958037,"White House, District of Columbia, United States",US,"White House, District of Columbia, United States",US,http://money.cnn.com/2017/08/29/technology/business/expedia-gender-parity-uber/
